id,title,img,actors,director,brief,goal,category,isCrawl,isIndex
mzc00200iseomew,《古董局中局之鉴墨寻瓷》,//puui.qpic.cn/vcover_vt_pic/0/mzc00200iseomew1588747574682/350,夏雨/ 魏晨/ 阿丽亚/ 梁静,费振翔,"许愿（夏雨饰），北京潘家园小古董店""四悔斋""的老板，古董鉴宝界最具权威的""五脉梅花""家族之一许家，唯一的传人。为了楸出隐藏在五脉之中的""老朝奉""造假势力，许愿孤身一人入局破局，与庞大的古董造假集团展开层层较量，却被设局指引牵扯出两幅《清明上河图》真赝难辨的惊天秘密。随着迷局的层层解开，境外神秘的造假势力也浮出水面，而这些竟然都与当年许愿爷爷的护宝冤案有着千丝万缕的关系。为了查出前世真相，许愿再度联手投靠于""老朝奉""的药不然（魏晨饰），但不曾想这所有的一切都尽在老朝奉的掌握之中，而老朝奉势力的背后还藏着更大的谜团。
赝品迷局环环相扣，亦正亦邪的药不然又是背负着怎样的使命，五脉前世恩怨纠葛最终如何解答，而幕后BOSS""老朝奉""究竟是谁，这一切谜中谜的答案都隐藏在早已布好的局中局里。",7.5,内地 2020 悬疑 犯罪 冒险 剧情,1,1
mzc00200wxc9ptm,古董局中局2·竖屏更精彩,http://i.gtimg.cn/qqlive/img/jpgcache/files/qqvideo/m/mzc00200wxc9ptm.jpg,,,换个角度追剧古董2,9.8,片花 悬疑,0,0
9z88hz9qwugb8p1,古董局中局,http://i.gtimg.cn/qqlive/img/jpgcache/files/qqvideo/9/9z88hz9qwugb8p1.jpg,,,夏雨乔振宇鉴真伪破迷局,3.8,悬疑 剧情,0,0
qp39m3l9upxl08a,古董里的门道,http://i.gtimg.cn/qqlive/img/jpgcache/files/qqvideo/q/qp39m3l9upxl08a.jpg,,,古董局中局高能合集,3.4,片花 悬疑 剧情,0,0
mzc00200zkxs5e0,暹罗密码·速看版,http://i.gtimg.cn/qqlive/img/jpgcache/files/qqvideo/m/mzc00200zkxs5e0.jpg,,,三分钟大破异域悬案,2.8,片花 悬疑 犯罪 喜剧 剧情,0,0
236vbmsdok9mcb6,古董局中局·剧说原著,http://i.gtimg.cn/qqlive/img/jpgcache/files/qqvideo/2/236vbmsdok9mcb6.jpg,,,解析原著细品剧,2.7,片花 悬疑 剧情,0,0
dffzoa6jllk79jm,古董课代表,http://i.gtimg.cn/qqlive/img/jpgcache/files/qqvideo/d/dffzoa6jllk79jm.jpg,,,你没看透的剧情都在这里,2.7,片花 悬疑 剧情,0,0
dp7xratybwrdjfl,古董局中局·速看版,http://i.gtimg.cn/qqlive/img/jpgcache/files/qqvideo/d/dp7xratybwrdjfl.jpg,,,3分钟get古董精彩,2.7,片花 悬疑 剧情,0,0
mzc00200x3fzrcb,异域档案之暹罗密码,http://i.gtimg.cn/qqlive/img/jpgcache/files/qqvideo/m/mzc00200x3fzrcb.jpg,,,叛逆卧底破异域悬案,2.2,悬疑 犯罪 剧情,0,0
jciqke9dyg8pfpv,师傅,http://i.gtimg.cn/qqlive/img/jpgcache/files/qqvideo/j/jciqke9dyg8pfpv.jpg,,,工人版亮剑,2.1,家庭 爱情 剧情,0,0
l1jc8hzubf6wz99,莫斯科行动,http://i.gtimg.cn/qqlive/img/jpgcache/files/qqvideo/l/l1jc8hzubf6wz99.jpg,,,夏雨上演跨国追捕,1.9,悬疑 动作,0,0
bhp6pgqj2fyj4h9,绝地沙海,http://i.gtimg.cn/qqlive/img/jpgcache/files/qqvideo/b/bhp6pgqj2fyj4h9.jpg,,,,1.7,网络剧 悬疑,0,0
8pl66isxpt8jxbw,失踪的上清寺,http://i.gtimg.cn/qqlive/img/jpgcache/files/qqvideo/8/8pl66isxpt8jxbw.jpg,,,寻找上清寺,1.6,悬疑 剧情 爱情,0,0
lc2a6fi2osbbedd,上线下线,http://i.gtimg.cn/qqlive/img/jpgcache/files/qqvideo/l/lc2a6fi2osbbedd.jpg,,,斯琴高娃直捣传销老巢,1.6,悬疑 犯罪 剧情,0,0
8qum8ikxii7b0ky,于无声处,http://i.gtimg.cn/qqlive/img/jpgcache/files/qqvideo/8/8qum8ikxii7b0ky.jpg,,,胡军变当代国安特工,1.6,片花 悬疑 剧情,0,0
